term,doc1,doc2,doc3,doc4,doc5,doc6,doc7,doc8,doc9,doc10,df,idf
butuh,0,0,0,0,0,0,0,0,0,1,1,2.7047480922384253
tekun,0,0,0,0,0,0,0,0,0,1,1,2.7047480922384253
bagi,0,0,0,0,0,0,0,0,0,2,1,2.7047480922384253
arah,0,0,0,0,0,0,0,0,0,1,1,2.7047480922384253
lengkap,0,0,0,0,0,0,0,0,0,1,1,2.7047480922384253
informasi,0,0,0,0,0,0,0,0,0,1,1,2.7047480922384253
habis,0,0,0,0,0,0,0,0,0,1,1,2.7047480922384253
sukses,0,0,0,0,0,0,0,0,0,1,1,2.7047480922384253
cocok,0,0,0,0,0,0,0,0,0,1,1,2.7047480922384253
coba,0,0,0,0,0,0,0,0,0,1,1,2.7047480922384253
